Phishing_Attempts,DDoS_Intensity,Malware_Infections,Insider_Threats,Direct_Fraud_Loss,Downtime_Costs,Customer_Churn_Rate,Regulatory_Fines,MobileMoney_Volume,Security_Investment,Employee_Training,Load_Shedding_Frequency,Account_Takeover_Prob,DDoS_Downtime_Costs,Fraud_Loss_From_Insider
5,0.28357469512098615,2,0,1319.928510347685,3251.2540782966685,0.4304979427384014,64336.33608817878,1.992284750122974,253983.60986953654,0.9598504492782104,4.777831039195479,0.9241418199787566,283.48192369175774,0.0
4,0.20267163375506325,0,0,1000.2024904549771,2001.4176833478045,0.24098671814832523,31403.369594502015,5.46848365844276,238242.4354454394,0.5774390712364464,1.9399726098493892,0.8807970779778825,202.6909136343139,0.0
4,1.3433785191188126,3,1,1119.7686123956096,8322.148356881995,0.0036798392976006254,105684.76520171018,2.3873893356311493,165524.92467047233,0.4515677044953228,4.222736358022769,0.8807970779778825,1343.5244352182315,2.837391955923126
0,0.3967544205526785,3,0,9585.40410753878,1584.781425771527,0.21796417494788625,190285.0773879502,3.4767637262332443,236620.3327452655,0.6561237063611743,1.350228422517426,0.5,396.73368487580916,0.0
5,1.9103972176511312,4,1,5383.81273337407,12895.672459309344,0.07455418542280258,54123.55969085948,4.36165439875157,88196.92618308608,0.6759612123332064,0.7737790623134908,0.9241418199787566,1910.410162315386,2.0366984895702966
3,3.3092748468603,1,0,1248.220617510919,545.540086805482,0.11686406758163988,65761.72527741379,5.581327772536326,160927.9127216157,0.7995789911224467,2.3417869993446043,0.8175744761936437,3309.2505952153474,0.0
5,3.326302618599442,3,0,3510.0447604785927,573.4241202677689,0.2137937255207819,31417.085117748928,3.5937389080881657,124360.6346224194,0.8653604531963929,6.721725882517353,0.9241418199787566,3326.0712326498815,0.0
0,2.100099082204657,1,0,2185.0248634673344,8359.384949094001,0.10895269308474961,44923.058716102896,3.6514701546614408,238649.16654401665,0.8655810565157586,12.395844594898897,0.5,2100.10114122238,0.0
6,0.7665506782760347,8,0,19061.09193952998,2610.2040520568835,0.36437986041879916,28731.665122007347,12.954286839993916,234655.8417010457,0.3374721313005145,3.0598091820123186,0.9525741268224334,766.5808574691,0.0
0,3.1618263573382537,14,1,1476.7040943598527,1508.9402704388554,0.0591600648861411,313739.89041524957,6.807046423440985,244569.85736098848,0.5761886458279217,5.147628743696963,0.5,3161.775107999166,2.0185022822354095
2,3.354697999241306,14,0,2594.362845942616,11328.609267712223,0.2635569308362245,52716.83584500031,3.233950120102435,69447.45398818444,0.4530537182080008,0.5437040620059633,0.7310585786300049,3354.582535546417,0.0
0,0.726583323098782,6,0,1056.22713490384,1198.837814858326,0.19395758205751368,257344.21611315623,3.67757353269365,200156.47944035387,0.8974110107493186,11.741248059427624,0.5,726.4952624528038,0.0
5,2.4275367514508543,10,0,1522.7108996278375,2207.6814332080007,0.06499079706281785,51206.34760893454,10.280508974355218,226919.4217768439,0.5509123272443864,4.2036465613722145,0.9241418199787566,2427.613170212468,0.0
6,0.9696875679940535,3,0,15894.71712573073,24314.834713728942,0.33425038360807513,60440.2512944238,5.592712321927726,149328.5984985445,0.875107422141224,7.57833202492219,0.9525741268224334,969.8848204713582,0.0
4,2.7618094206516908,6,0,1906.4886077027147,29992.826599915043,0.21619385326460056,142348.03848327696,7.306695460911033,219239.27371984304,0.9110823089696348,7.910115795345752,0.8807970779778825,2761.947663985781,0.0
0,6.524194350639872,2,0,1327.0035813342843,31526.927956845062,0.04361741554265003,45647.51802994832,3.182899462660214,131112.1317311575,0.5136772136093153,1.4818016079323437,0.5,6524.059916039389,0.0
6,0.19517781795038544,8,0,1112.6943795375014,1952.3934996632022,0.2582224136683156,116286.72006012313,2.9551457672811674,154488.72219152335,0.6519412595023636,3.7663382124888116,0.9525741268224334,195.2632806814405,0.0
1,3.4611403103120186,5,0,2754.31757090554,18883.699290000295,0.10942545080640008,52750.022982918104,8.907980878922348,196966.80198578796,0.7057035706605717,16.154710598548576,0.6224593312018546,3461.073994074438,0.0
7,1.9658949289031322,12,0,2369.5341710588546,718.0726575925322,0.40084407432099256,35078.97982854636,3.84693442392461,219749.67055702826,0.8845794443168886,0.46954580496291953,0.9706877692486436,1965.8367021968813,0.0
2,4.720598909642046,6,0,1477.3587167854776,764.8239586375119,0.3020736631301251,796099.0426481041,3.8105700926949613,147290.1088642519,0.4933513119589556,5.745054622639834,0.7310585786300049,4720.552712082249,0.0
0,1.4627983596265157,5,0,12333.046043165015,87.7345888309175,0.19421259614040806,151926.76121904037,3.053655155104585,155222.97926787776,0.88230519530065,16.385714004630504,0.5,1462.8689663215014,0.0
4,3.0463495084197665,2,0,1018.886982699978,36654.89660335924,0.19705136639866322,61951.77411511417,7.144754999656941,158712.25359270597,0.6494656953255014,1.7874986202676695,0.8807970779778825,3046.4454337574116,0.0
0,0.3214168795112516,8,0,1352.120512844647,815.6866112748052,0.38195552873152144,45197.855658676,4.4933720464300455,164479.49259798153,0.771136867233042,9.882545026454526,0.5,321.4070764041236,0.0
8,1.1008934189004287,0,0,8297.792280746346,2465.626297770154,0.14184411388145504,165845.58633982015,1.9088192292863628,162491.86237967,0.9507856137331774,13.564626229854643,0.9820137900379085,1100.885311826328,0.0
0,0.33765145453011636,10,0,1380.6198436472037,760.9087838233063,0.023507236101500198,133132.17396378925,2.8417288099885796,186706.31818698748,0.7643569300652563,6.873532984593789,0.5,337.69788090443996,0.0
